skills,certifications,experience_years,education_level,projects_completed,github_commits_per_year,soft_skills,expected_salary_lpa,job_role
"Python, Deep Learning, Machine Learning, React",Deep Learning Specialization,2.9,Bachelor's,9,132,"Collaboration, Communication, Critical Thinking, Adaptability",13.1,AI Engineer
"Machine Learning, Scikit-learn, MLOps, Deep Learning, Python, OpenCV",IBM AI Engineering,6.7,Bachelor's,9,318,"Leadership, Teamwork",22.3,AI Engineer
"Vue.js, Node.js, HTML, MySQL, TypeScript",AWS Cloud Practitioner,10.3,Bachelor's,7,231,"Teamwork, Communication, Critical Thinking, Leadership",4.9,Web Developer
"React, CSS, MongoDB",React Developer Certification,4.3,Master's,9,319,"Teamwork, Problem Solving, Critical Thinking, Collaboration",12.8,Web Developer
"Node.js, Angular, TypeScript, React, PHP, HTML",MongoDB Developer,7.6,Master's,16,297,"Creativity, Leadership",13.9,Web Developer
"PyTorch, Deep Learning, LangChain, Machine Learning, Hugging Face, NLP",None,8.9,Master's,7,266,"Communication, Teamwork",27.6,AI Engineer
"SPSS, Statistics, NumPy, Excel",None,4.0,PhD,1,150,"Attention to Detail, Time Management, Adaptability, Communication",9.3,Data Analyst
"JavaScript, MySQL, HTML, Node.js, TypeScript, Docker",AWS Cloud Practitioner,8.2,Bachelor's,17,209,"Attention to Detail, Collaboration",6.3,Web Developer
"Data Visualization, SQL, Excel, R, Python",Tableau Desktop Specialist,1.8,Master's,13,171,"Problem Solving, Creativity",7.9,Data Analyst
"Deep Learning, Keras, MLOps, OpenCV",Deep Learning Specialization,9.4,Master's,10,179,"Adaptability, Creativity, Attention to Detail, Communication",8.1,AI Engineer
"Excel, R, SQL, Pandas",Tableau Desktop Specialist,5.5,Diploma,11,159,"Critical Thinking, Time Management, Creativity, Teamwork",9.7,Data Analyst
"LangChain, MLOps, Hugging Face, Scikit-learn",Deep Learning Specialization,7.5,PhD,10,231,"Leadership, Creativity, Communication",15.7,AI Engineer
"Python, OpenCV, NLP",AWS Machine Learning,3.7,Bachelor's,6,243,"Attention to Detail, Teamwork, Communication",13.5,AI Engineer
"TensorFlow, Machine Learning, PyTorch",None,5.1,Bachelor's,12,200,"Time Management, Creativity, Collaboration",14.8,AI Engineer
"JavaScript, React, Node.js, REST APIs, HTML, TypeScript, R",Node.js Certification,1.6,Bachelor's,6,277,"Collaboration, Teamwork",14.9,Web Developer
"OpenCV, TensorFlow, MLOps, Machine Learning",Google TensorFlow Developer,6.1,Master's,18,146,"Adaptability, Critical Thinking",11.6,AI Engineer
"JavaScript, Angular, REST APIs, Node.js, MySQL, PHP, Google Analytics",AWS Cloud Practitioner,1.0,Bachelor's,15,265,"Critical Thinking, Adaptability",6.0,Web Developer
"MySQL, TypeScript, Node.js, Vue.js",Meta Frontend Developer,6.0,Bachelor's,16,314,"Teamwork, Collaboration, Problem Solving",9.3,Web Developer
"Vue.js, React, PHP, REST APIs, Node.js",None,3.0,Master's,26,315,"Time Management, Problem Solving",10.5,Web Developer
"Keras, OpenCV, LangChain, Python, TensorFlow, MLOps, SPSS",IBM AI Engineering,5.5,PhD,8,185,"Communication, Adaptability, Critical Thinking",12.9,AI Engineer
"Hugging Face, TensorFlow, NLP, Keras",None,10.4,Master's,12,196,"Communication, Problem Solving, Adaptability",17.7,AI Engineer
"Node.js, JavaScript, CSS, MongoDB",Meta Frontend Developer,8.1,Bachelor's,27,316,"Critical Thinking, Communication",6.4,Web Developer
"OpenCV, NLP, Deep Learning, TensorFlow",Microsoft Azure AI,4.3,Master's,6,98,"Problem Solving, Time Management, Communication",13.5,AI Engineer
"R, Google Analytics, Statistics, Pandas, Excel, Power BI",Tableau Desktop Specialist,3.2,Master's,13,316,"Critical Thinking, Adaptability, Leadership, Communication",9.1,Data Analyst
"MLOps, NLP, TensorFlow, Deep Learning, Keras",None,4.1,Master's,7,204,"Collaboration, Time Management",12.0,AI Engineer
"Node.js, Docker, React",None,7.2,Bachelor's,12,242,"Creativity, Problem Solving, Teamwork, Attention to Detail",13.4,Web Developer
"TensorFlow, Machine Learning, Deep Learning, Hugging Face, Keras",IBM AI Engineering,1.5,Bachelor's,2,241,"Leadership, Creativity",17.7,AI Engineer
"JavaScript, Angular, HTML, CSS",None,2.8,Master's,20,250,"Creativity, Problem Solving",6.3,Web Developer
"Docker, MySQL, Vue.js, TypeScript, MongoDB",None,8.6,Master's,13,289,"Creativity, Critical Thinking, Time Management, Attention to Detail",10.1,Web Developer
"Power BI, Python, R, NumPy, Excel",Microsoft Power BI,2.6,Bachelor's,19,203,"Attention to Detail, Creativity, Leadership",10.7,Data Analyst
"Statistics, Google Analytics, NumPy, SQL",None,4.6,PhD,10,236,"Attention to Detail, Critical Thinking, Creativity, Teamwork",13.4,Data Analyst
"MySQL, HTML, MongoDB, PHP, Angular, JavaScript",None,9.0,PhD,10,109,"Communication, Teamwork, Leadership, Attention to Detail",8.4,Web Developer
"HTML, Node.js, MongoDB, PHP",MongoDB Developer,4.3,Bachelor's,21,235,"Communication, Attention to Detail, Collaboration",13.5,Web Developer
"Angular, CSS, Docker, HTML, Data Visualization",Meta Frontend Developer,9.7,Diploma,16,325,"Critical Thinking, Creativity, Time Management, Leadership",10.3,Web Developer
